ID,Name,Maker,Category,Sub_Category,Sub_Sub_Category,Sub_Sub_Sub_Category,Cost,Volume(ml),Alcohol_By_Volume,Aroma,Color,Deposit,Origin,Region
790454,ANDERSON VALLEY EE TAH! IPA,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,18.62,355,7.5,,,0.6,UNITED STATES,CALIFORNIA
785046,ANDERSON VALLEY FALL HORNIN,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,5.02,355,6,,,0.6,UNITED STATES,CALIFORNIA
785047,ANDERSON VALLEY FALL HORNIN,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,55.2,30000,6,,,0.25,UNITED STATES,CALIFORNIA
790455,ANDERSON VALLEY G & T GOSE,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,17.31,355,4.2,,,0.6,UNITED STATES,CALIFORNIA
790590,ANDERSON VALLEY G & T GOSE 30L,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,239.45,30000,4.2,,,0.25,UNITED STATES,CALIFORNIA
752825,ANDERSON VALLEY HEELCH O HOPS DOUBLE IPA,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,7.23,355,8.7,,,0.4,UNITED STATES,CALIFORNIA
756009,ANDERSON VALLEY HEELCH O HOPS DOUBLE KK,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,132.67,30000,8.7,,,0.25,UNITED STATES,CALIFORNIA
749091,ANDERSON VALLEY HOP OTTIN KEYKEG,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,209,30000,7,,,0.25,UNITED STATES,CALIFORNIA
749088,ANDERSON VALLEY HOP OTTIN' IPA CANS,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,19.41,355,7,,,0.6,UNITED STATES,CALIFORNIA
1148719,ANDERSON VALLEY HORSE TONGUE,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,13.87,650,5.4,,,0.1,UNITED STATES,CALIFORNIA
764629,ANDERSON VALLEY HUGE ARKER BARREL AGED S,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,16.1,650,13.5,,,0.1,UNITED STATES,CALIFORNIA
769336,ANDERSON VALLEY KIMMIE GOSE 30L KEG,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,241.55,30000,4.2,,,0.25,UNITED STATES,CALIFORNIA
769105,ANDERSON VALLEY KIMMIE GOSE CANS 6PK,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,17.31,355,4.2,,,0.6,UNITED STATES,CALIFORNIA
750132,ANDERSON VALLEY SUMMER SOLSTICE 6PK,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,9.01,355,5,,,0.6,UNITED STATES,CALIFORNIA
750134,ANDERSON VALLEY SUMMER SOLSTICE KEYKEG,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,80.2,30000,5,,,0.25,UNITED STATES,CALIFORNIA
793279,ANDERSON VALLEY SUMMER SOLSTICE NITR 30L,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,80.07,30000,5,,,0.25,UNITED STATES,CALIFORNIA
756008,ANDERSON WILD TURKEY BOURBON BARREL STO.,CRAFT BEER IMPORTERS CANADA INC.,BEER,BEER,,,281.45,30000,6.9,,,0.25,UNITED STATES,CALIFORNIA
797895,ANDY'S WEE HEAVY SCOTTISH ALE 6CANS CLS,COMMON CROWN BREWING COMPANY INC.,BEER,BEER,,,11.95,355,7.5,,,0.6,CANADA,ALBERTA
768298,ANGRY HESSIAN PUMPKIN ALE,33115 YUKON INC.,BEER,BEER,,,5.99,650,5,,,0.1,CANADA,YUKON
796612,ANGRY WOLF PUMPKIN ALE CLS,MCBSW SALES COMPANY INC.,BEER,BEER,,,3.83,750,5,,,0.1,CANADA,ALBERTA
789796,ANNIVERSARY INDIA RED ALE,TREE BREWING AND FIREWEED BREWING,BEER,BEER,,,6.07,650,6.2,,,0.1,CANADA,BRITISH COLUMBIA
766777,ANTHOLOGY 12 PK CLS,WILD ROSE BREWERY LTD.,BEER,BEER,,,24.65,341,5,,,1.2,CANADA,ALBERTA
792716,ANTHOLOGY 2 12PK CLS,WILD ROSE BREWERY LTD.,BEER,BEER,,,24.65,341,4.88,,,1.2,CANADA,ALBERTA
789392,APEX PREDATOR DOUBLE IPA CLS,BENCH CREEK BREWING,BEER,BEER,,,425,58674,8.2,,,30,CANADA,ALBERTA
789394,APEX PREDATOR DOUBLE IPA CLS,BENCH CREEK BREWING,BEER,BEER,,,227,29300,8.2,,,30,CANADA,ALBERTA
789396,APEX PREDATOR DOUBLE IPA CLS,BENCH CREEK BREWING,BEER,BEER,,,17.5,473,8.2,,,0.4,CANADA,ALBERTA
799395,APRES CHOCOLATE MILK STOUT 50L CLS,FOLDING MOUNTAIN BREWING,BEER,BEER,,,290,50000,5,,,30,CANADA,ALBERTA
774284,APRICOTOPUS SOUR APRICOT SAISON,49TH PARALLEL GROUP INC.,BEER,BEER,,,5.49,650,6.3,,,0.1,CANADA,BRITISH COLUMBIA
9700982,APRIKAT APRICOT ALE,ALLEY KAT BREWING COMPANY LTD.,BEER,BEER,,,13.22,341,4.1,,,0.6,CANADA,ALBERTA
9928747,APRIKAT APRICOT ALE,ALLEY KAT BREWING COMPANY LTD.,BEER,BEER,,,220,50000,4.1,,,0,CANADA,ALBERTA
9928762,APRIKAT APRICOT ALE,ALLEY KAT BREWING COMPANY LTD.,BEER,BEER,,,101,20000,4.1,,,0,CANADA,ALBERTA
792116,ARROWHEAD BERRIES OF THE NIGHT RASPBERRY,EPOCH IMPORTS INC.,BEER,BEER,,,5.94,650,4.5,,,0.1,CANADA,BRITISH COLUMBIA
761118,ARROWHEAD HOPPY IPA KEG,EPOCH IMPORTS INC.,BEER,BEER,,,331.88,58000,7.3,,,30,CANADA,BRITISH COLUMBIA
788571,ARROWHEAD NIGHT TRAIN CASCADIAN DARK ALE,EPOCH IMPORTS INC.,BEER,BEER,,,5.77,650,6.8,,,0.1,CANADA,BRITISH COLUMBIA
627398,ASAHI DRY BLACK,BEVERAGE CONCEPTS INTERNATIONAL (BCI),BEER,BEER,,,15.44,334,5.5,,,0.6,JAPAN,
541201,ASAHI SUPER DRY,BEVERAGE CONCEPTS INTERNATIONAL (BCI),BEER,BEER,,,11.7,2000,5,,,0.25,JAPAN,
563999,ASAHI SUPER DRY,BEVERAGE CONCEPTS INTERNATIONAL (BCI),BEER,BEER,,,6.86,135,5,,,0.6,JAPAN,
572313,ASAHI SUPER DRY,BEVERAGE CONCEPTS INTERNATIONAL (BCI),BEER,BEER,,,2.07,500,5,,,0.1,JAPAN,
752222,ASAHI SUPER DRY,BEVERAGE CONCEPTS INTERNATIONAL (BCI),BEER,BEER,,,151.38,19000,5,,,30,JAPAN,
767093,ASAHI SUPER DRY,BEVERAGE CONCEPTS INTERNATIONAL (BCI),BEER,BEER,,,3.59,630,5,,,0.1,CHINA,
439950,ASAHI SUPER DRY (BOTTLES),BEVERAGE CONCEPTS INTERNATIONAL (BCI),BEER,BEER,,,10.6,330,5,,,0.6,THAILAND,
