ID,Name,Maker,Category,Sub_Category,Sub_Sub_Category,Sub_Sub_Sub_Category,Cost,Volume(ml),Alcohol_By_Volume,Aroma,Color,Deposit,Origin,Region
879205,CORNISH GOLD APPLE CIDER,PREMIER BRANDS  LTD.,CIDER,,,,328.13,50000,4.5,,,30,UNITED KINGDOM,ENGLAND
781345,CRACKED APPLE CIDER WITH SPICED RUM,RIVER VALLEY BEVERAGE,CIDER,,,,2,500,5.5,,,0.1,UNITED KINGDOM,ENGLAND
781344,CRACKED APPLE CIDER WITH TEQUILA & LIME,RIVER VALLEY BEVERAGE,CIDER,,,,2,500,5.5,,,0.1,UNITED KINGDOM,ENGLAND
784169,DARK & DRY APPLE CIDER,DELANCEY DIRECT INCORPORATED,CIDER,,,,16.96,355,5,,,0.6,UNITED STATES,WASHINGTON
751196,DARRAGON DIT LAFRANCE CIDER,UNITED DISTRIBUTORS,CIDER,,,,11.34,750,6.5,,,0.1,CANADA,QUEBEC
764535,DUBLIN'S PUB IRISH CIDER,ICON FINE WINE AND SPIRITS,CIDER,,,,8.65,355,5,,,0.4,CANADA,QUEBEC
770004,DUBLIN'S PUB IRISH CIDER KEG,ICON FINE WINE AND SPIRITS,CIDER,,,,158,30000,5,,,0.25,CANADA,QUEBEC
764493,DUBLIN'S PUB RED HARD CIDER,ICON FINE WINE AND SPIRITS,CIDER,,,,8.65,355,5,,,0.4,CANADA,QUEBEC
785738,DUCHE LONGUEVILLE ANTOINETTE,PLAID CAP IMPORTS,CIDER,,,,10.98,750,5,,RED,0.1,FRANCE,BORDEAUX
216150,DUKES DRY APPLE CIDER,TREE BREWING AND FIREWEED BREWING,CIDER,,,,257.6,50000,5,,,30,CANADA,BRITISH COLUMBIA
766600,DUKES DRY CIDER 6 CANS,TREE BREWING AND FIREWEED BREWING,CIDER,,,,11.1,355,5,,,0.6,CANADA,BRITISH COLUMBIA
775915,ERIC BORDELET SYDRE ARGELETTE CIDER,GLOBAL WINE MERCHANTS,CIDER,,,,20.63,750,5,,,0.1,FRANCE,OTHER (FRENCH)
760621,FINNRIVER ARTISAN METHODE CHAMPENOISE,EXCESS WINES INC.,CIDER,,,,20.76,750,8,,,0.1,UNITED STATES,WASHINGTON
763699,FINNRIVER BLACK CURRANT CIDER,EXCESS WINES INC.,CIDER,,,,9.41,500,6.5,,,0.1,UNITED STATES,WASHINGTON
760618,FINNRIVER HABANERO CIDER,EXCESS WINES INC.,CIDER,,,,9.41,500,6.5,,,0.1,UNITED STATES,WASHINGTON
763697,FINNRIVER METHODE CHAMPENOISE CIDER,EXCESS WINES INC.,CIDER,,,,11.77,375,8,,,0.1,UNITED STATES,WASHINGTON
780319,FINNRIVER OAK AND APPLE CIDER,EXCESS WINES INC.,CIDER,,,,10.36,500,6.5,,,0.1,UNITED STATES,WASHINGTON
763700,FINNRIVER ORGANIC DRY HOPPED CIDER,EXCESS WINES INC.,CIDER,,,,9.41,500,6.5,,,0.1,UNITED STATES,WASHINGTON
760617,FINNRIVER PEAR CIDER,EXCESS WINES INC.,CIDER,,,,9.41,500,6.5,,,0.1,UNITED STATES,WASHINGTON
760807,FINNRIVER SEASONAL CIDER,EXCESS WINES INC.,CIDER,,,,10.36,500,6.5,,,0.1,UNITED STATES,WASHINGTON
751087,FOUNDRY CIDER,DIAGEO CANADA INC.,CIDER,,,,261.71,50000,4.5,,,0,UNITED KINGDOM,OTHER
